,Title,Location,Company name,Experience required
0,Developer - Data Science,Delhi / NCR,ICL Systems India Private Limited,3-5 Yrs
1,Data Scientist - IBM Garage,"Noida, Hyderabad/Secunderabad, Bangalore/Bengaluru",IBM India Pvt. Limited,5-8 Yrs
2,Data Scientist/Data Analyst - Python/Machine Learning,"Mumbai, Ghaziabad",Change leaders,5-10 Yrs
3,Data Scientist,"Ghaziabad, Faridabad, Delhi / NCR",Amity University,6-8 Yrs
4,Data Scientist - Python & Machine Learning,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",FUTURES AND CAREERS,2-7 Yrs
5,Data Scientist - Python & Machine Learning,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",FUTURES AND CAREERS,2-7 Yrs
6,Data Scientist - Python / Machine Learning / Tableau / Power BI,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR",FUTURES AND CAREERS,3-8 Yrs
7,Data Scientist - Python & Machine Learning,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",FUTURES AND CAREERS,2-7 Yrs
8,Hiring For Data Scientist,"Gurgaon/Gurugram, Delhi / NCR",Max Bupa Health Insurance Company Limited,1-6 Yrs
9,Required- Data Scientist (NLP)-Axis Bank - 6 months contract,"Kolkata, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",Axis Bank Limited,4-9 Yrs
