,Product Name,OS,Display,Processor,HDD,RAM,Weight,Dimension,Graphic Processor,Price
0,MSI GT76 TITAN DT 9SG,WINDOWS 10 PRO,"17.3"" (UHD 3840X2160)",INTEL 9TH GEN CORE I9-9900K | 5000 MHZ,1 TB HDD,64 GBGB DDR4,4.2 kg,397 x 330 x 33~42 mm,NVIDIA GeForce RTX 2080,"379,990"
1,ALIENWARE 17 AREA-51M,WINDOWS 10 PRO,"17.3"" (FHD (1920 X 1080))",INTEL 9TH GEN CORE I9-9900K | 5000 MHZ,1 TB PCIe SSD,32GB DDR4,3.87 Kg,42 mm x 402.6 mm x 319.14 mm,NVIDIA GeForce RTX 2080,"422,000"
2,HP OMEN 15 2020,WINDOWS 10 HOME,"15.6"" (1920 X 1080)",INTEL I7-10750H 10TH GEN | 1.6GHZ,512 GB SSD,16 GBGB DDR4,5.40,14.09 x 9.44 x 0.89,Nvidia GeForce GTX 1650Ti,"117,790"
3,ASUS ZEPHYRUS G14,WINDOWS 10 HOME,"14"" (1920 X 1080)",AMD 3RD GENERATION RYZEN 9 | 3.3 GHZ,1 TB SSD,16 GBGB DDR4,1.65,32.5 x 22.1 x 1.8,NVIDIA GeForce RTX 2060,"164,990"
4,LENOVO LEGION Y540,WINDOWS 10 HOME,"15.6"" (1920 X 1080)",9TH GENERATION CORE INTEL I7-9750H | 2.6 GHZ,1 TB SSD,8GB DDR4,2.3,365mm x 260mm x 25.9mm,NVIDIA® GeForce RTX™ 2060,"79,990"
5,ASUS ROG ZEPHYRUS G GA502,WINDOWS 10 HOME,"15.6"" (1920 X 1080)",AMD RYZEN 7 QUAD CORE 3750H | 2.3 GHZ,512 GB SSD,16GB DDR4,2.2,360 x 252 x 20.4,NVIDIA Geforce GTX 1660 Ti,"79,990"
6,ASUS ROG ZEPHYRUS S GX531,WINDOWS 10 HOME,"15.6"" (1920 X 1080)",9TH GEN INTEL CORE I7-8750H | 2.2 GHZ,512GB SSD,16 GBGB DDR4,2.1,360 (W) x 268 (D) x 15.35~16.15 (H) mm,NVIDIA® GeForce RTX™ 2070 (Max-Q),"239,990"
7,MSI GT83VR 7RE TITAN SLI,WINDOWS 10 HOME 64 BIT,"18.4"" (1920 X 1080)",INTEL CM238 CORE I7-7820HK+CM238 7TH GEN | 3.5GHZ,1.5 TB SATA,64GB DDR4,5.5,458 x 339 x 69,Dual GTX1070,"349,990"
8,ASUS ROG ZEPHYRUS DUO 15,WINDOWS 10,"15.6"" (3840 X 1100)",INTEL CORE I7 10TH GEN 10875H | NA,512 GB SSD,4 GBGB DDR4,2.4,268.30 x 360.00 x 20.90,NVIDIA GeForce RTX 2070 Max-Q,"244,990"
9,DELL G3,WINDOWS 10 HOME PLUS,15.6 MP | NA,8TH GEN INTEL CORE I5-8300H | 2.3GHZ,1TB HDD,8GB DDR4,2.53,22.7 X 380 X 258,NVidia GeForce GTX 1050,"73,900"
